"plotNumber","evenness"
"fs-049","0.76069881003346"
"fs-048","0"
"fs-024","0.763936071392928"
"fs-032","0.881290899230693"
"fs-041","0"
"fs-040","0"
"fs-042","0.817345422146509"
"fs-047","0.401450002612847"
"fs-006","0"
"fs-044","0.619382194678764"
"fs-046","0.566509506552905"
"fs-013","0.970950594454669"
"fs-002","0"
"fs-045","0.863120568566631"
"fs-050","0.845350936622436"
"de-004","0"
"de-003","0.337290066617014"
"fs-038","0.76420450650862"
"fs-023","0"
"fs-010","0.391243563629256"
"dm-003","0.991076059838222"
"exc-004","0"
"fs-031","0.985228136034252"
"fs-014","0.734555039603632"
"fs-039","0"
"fs-043","0.650022421648354"
"fs-037","0.970950594454669"
"fs-036","1"
"fs-005","0.834202288644104"
"fs-034","0"
"fs-001","0.920619835714302"
"fs-033","0"
"fs-029","0.468995593589281"
"fs-030","0"
"fs-027","0.914100892018562"
"fs-004","0.863120568566631"
"fs-022","0"
"fs-003","0.836640741941167"
"dm-002","0.863120568566631"
"dm-001","1"
"fs-035","0"
"fs-025","0.309543429150325"
"fs-026","0.94566030460064"
"fs-028","0"
"dm-006","0.91829583405449"
"dm-005","1"
"dm-004","1"
"fs-016","0"
"fs-017","0.817345422146509"
"fs-011","0"
"fs-012","0"
"fs-020","0"
"fs-021","0.503258334775646"
"fs-007","0.468995593589281"
"fs-015","0.222284830685688"
"fs-018","0.597094843287992"
"fs-019","0.920619835714302"
"fs-009","0.991076059838222"
"fs-008","0.439496986921513"
"fs-051","0.935893280949401"
"fs-052","0.873479027870177"
"fs-053","0"
"fs-054","0"
"fs-055","0"
"fs-056","0.87635763948985"
"fs-057","0"
"fs-058","0"
