plot;species;lat;coverage;comment;foto
1;Buschwindroeschen;Anemone nemorosa;r;NA;20190502_150801
1;Waldmeister;Galium odoratum;+;NA;NA
1;Kleines Springkraut;Impatiens parviflora;r;lateinischen Namen ueberpruefen;20190604_134001
1;Kleines Springkraut;Impatiens parviflora;r;NA;20190604_134001
1;Einbluetiges Perlgras;Melica uniflora;r;NA;NA
1;Hain-Rispengras ;Poa nemoralis;r;(Hitler-Gras) H001;NA
1;Traubeneiche;Quercus petraea;1;NA;NA
1;Eberesche;Sorbus aucuparia;r;NA;NA
1;Gro·e Sternmiere;Stella holostea;r;NA;NA
2;Buschwindroeschen;Anemone nemorosa;1;NA;20190502_150801
2;Rotbuche;Fagus sylvatica;1;NA;20190502_150726
2;Gewoehnliches Scharbockskraut;Ficaria verna;r;NA;NA
2;Waldmeister;Galium odoratum;2;NA;NA
2;Zweiblaettrige Schattenblume;Maianthemum bifolium;+;NA;NA
2;Waldsauerklee;Oxalis acetosella;1;NA;20190523_142637 RB
2;Traubeneiche;Quercus petraea;r;NA;20190502_150903
2;Schwarzer Holunder;Sambucus nigra;r;NA;NA
3;Gewoehnliche Knoblauchrauke;Alliaria petiolata;r;NA;NA
3;Wiesenschaumkraut;Cardamine pratensis;r;Wiesenschaumkraut;NA
3;Winkel-Segge;Carex remota;r;NA;NA
3;Gewoehnliches Kletten-Labkraut;Galium aparine;1;NA;NA
3;Echter Nelkenwurz;Geum urbanum;+;Gewîhnliches Nelkenwurz;NA
3;Ampfer;NA;+;welcher genau;NA
3;Echter Wurmfarn;Dryopteris filix-mas;+;NA;NA
3;Wald-Ziest;Stachys sylvatica;r;NA;NA
3;Knauuel-Binse;Juncus conglomeratus;r;NA;NA
3;Brombeere;Rubus fruticosus;+;NA;NA
3;Gro·e Sternmiere;Stella holostea;r;NA;NA
3;Brennessel;Urtica dioica;3;NA;NA
4;Mittleres Zittergras;Briza media;2;NA;NA
4;Rotbuche;Fagus sylvatica;1;NA;20190502_150726
4;Gewoehnliches Kletten-Labkraut;Galium aparine;r;NA;NA
4;Waldmeister;Galium odoratum;r;NA;NA
4;KleinblÅtiges Springkraut ;Impatiens glandulifera;r;Keimling, 4Blatt, indisches Springkraut?;NA
4;Waldsauerklee;Oxalis acetosella;+;NA;20190523_142637 RB
4;Stieleiche;Quercus robur;r;NA;NA
4;Brennessel;Urtica dioica;r;NA;NA
5;Gewoehnliche Knoblauchrauke;Alliaria petiolata;r;NA;NA
5;Zwiebel-Zahnwurz;Dentaria bulbifera;+;NA;NA
5;Rotbuche;Fagus sylvatica;+;NA;NA
5;Echter Wurmfarn;Dryopteris filix-mas;r;welcher genau;NA
5;Waldsauerklee;Oxalis acetosella;r;NA;20190523_142637 RB
5;Rosenart;Rosa ?;r;Rosa avensis/Rosa canina;20190523_152318
6;Buschwindroeschen;Anemone nemorosa;r;NA;NA
6;Gewoehnliches Kletten-Labkraut;Galium aparine;r;NA;NA
6;Kleines Springkraut;Impatiens parviflora;1;NA;NA
6;Echter Wurmfarn;Dryopteris filix-mas;+;NA;NA
6;Gemeiner Hohlzahn;Galeopsis tetrahit (c.f.);r;NA;NA
6;Traubeneiche;Quercus petraea;r;(Keimling);NA
6;Brenessel;Urtica dioica;r;Herbarium;NA
7;Rotbuche;Fagus sylvatica;1;NA;NA
7;Gewoehnliche Esche;Fraxinus excelsior;r;NA;NA
7;Echter Wurmfarn;Dryopteris filix-mas;+;NA;NA
8;Drahtschmiele;Deschampsia flexuosa;+;NA;NA
8;Waldlabkraut;Gallium sylvaticum;r;NA;NA
8;Kleines Springkraut;Impatiens parviflora;r;NA;NA
8;Waldhainsimse;Luzula sylvatica;+;NA;NA
8;Echter Wurmfarn;Dryopteris filix-mas;+;Herbar ?;NA
8;Igel-Segge;Carex echinata;r;Stachelkraut, Herbarium;NA
8;Hain-Rispengras ;Poa nemoralis;+;Zeckengras, Herbarium;NA
8;Brombeere;Rubus fruticosus;1;NA;NA
8;Hainampfer;Rumex sanguineus;r;NA;NA
8;Waldehrenpreis;Veronica chamaedrys;r;NA;NA
