plot number;FSnumber;plot;editors;date;lat;long;section;foto;coverageTree;coverageShrub;coverageHerb;comment
1;051;1;Christian Simon, Jonathan Lieder, Robin Fischer, Mohammad Marzouk, Ben Renne;02.05.2019;5632165,456;477918,831;1A1;20190502_134208;50;3;10;lichter Buchenwald auf Hoehenzug
2;052;2;Christian Simon, Jonathan Lieder, Mohammad Marzouk, Ben Renne;14.05.2019;5632435,528;477667,498;1C1;20190514_141318;50;4;20;alter Buchenwald am V-Wehr
3;053;3;Christian Simon, Jonathan Lieder, Robin Fischer, Mohammad Marzouk, Ben Renne;16.05.2019;477810,458;5632127,908;AB2;20190504_142955;15;10;85;Erlenwald
4;054;4;Jonathan Lieder, Robin Fischer, Mohammad Marzouk, Ben Renne;23.05.2019;5631840,003;477697,862;3A1;20190516_161201;45;15;15;Buchenwald an Wegbiegung mit Kleefund
5;055;5;Jonathan Lieder, Robin Fischer, Mohammad Marzouk, Ben Renne;23.05.2019;5631769,652;477230,314;4A1;20190523_160435;30;25;3;Buchenwald am steilen Hang Quelle Grubenbach
6;056;6;Jonathan Lieder, Mohammad Marzouk, Christian Simon;13.06.2019;5632429,632;477693,946;1A1;20190624_160459;40;10;35;Lärchenwald steiler Hang V-Wehr
7;057;7;Jonathan Lieder, Mohammad Marzouk, Ben Renne, Christian Simon;13.06.2019;5631950,997;477389,327;4A1;20190624_160459;20;15;1;Rechts vom Brennesselweg
8;058;8;Jonathan Lieder, Mohammad Marzouk, Ben Renne, Christian Simon;13.06.2019;5631675,953;477325,981;3A1;20190613_134638;10;80;13;Zeckennest
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
