"plotID","species","lat","coverage"
"fs-001","kleines gruenes etwas","herb_indet","r"
"fs-002","kleines gruenes etwas","herb_indet","r"
"fs-005","kleines gruenes etwas","herb_indet","r"
"fs-009","kleines gruenes etwas","herb_indet","r"
"fs-011","kleines gruenes etwas","herb_indet","r"
"fs-012","kleines gruenes etwas","herb_indet","r"
"fs-014","kleines gruenes etwas","herb_indet","r"
"fs-019","kleines gruenes etwas","herb_indet","r"
"fs-021","kleines gruenes etwas","herb_indet","r"
"fs-022","kleines gruenes etwas","herb_indet","r"
"fs-024","kleines gruenes etwas","herb_indet","r"
"fs-026","kleines gruenes etwas","herb_indet","r"
"fs-028","kleines gruenes etwas","herb_indet","r"
"fs-032","kleines gruenes etwas","herb_indet","r"
"fs-033","kleines gruenes etwas","herb_indet","r"
"fs-047","kleines gruenes etwas","herb_indet","r"
"fs-048","kleines gruenes etwas","herb_indet","r"
"fs-049","kleines gruenes etwas","herb_indet","r"
"fs-049","kleines gruenes etwas","herb_indet","r"
"fs-001","Gewoehnliche Haselwurz ","Asarum europeum ","r"
"fs-001","Hainbuche ","Carpinus betulus ","r"
"fs-001","Wald-Schmiele ","Deschampsia caespitosa ","r"
"fs-001","Rotbuche ","Fagus sylvatica ","2"
"fs-001","Waldmeister ","Galium odoratum ","+"
"fs-001","Wald-Flattergras ","Milium effusum ","r"
"fs-001","Wald-Sauerklee ","Oxalis acetosella ","r"
"fs-001","Traubeneiche ","Quercus petraea ","1"
"fs-001","Himbeere ","Rubus idaeus ","r"
"fs-001","Brombeere ","Rubus sectio rubus ","r"
"fs-002","Knoblauchrauke ","Alliaria petiolata ","r"
"fs-002","Igel-Segge ","Carex cf echinata ","r"
"fs-002","Breitblaettriger Dornfarn ","Dryopteris austriaca ","r"
"fs-002","Rotbuche ","Fagus sylvatica ","2"
"fs-002","Kleinbluetiges Springkraut ","Impatiens parviflora ","r"
"fs-002","Wald-Hainsimse ","Luzula sylvatica ","+"
"fs-002","Einbluetiges Perlgras ","Melica uniflora ","2"
"fs-002","Waldbingelkraut ","Mercurialis perennis ","r"
