"ID","treeID","creatorID","specID","height","DBH","plot"
1,"b00001","jk","FIG",NA,0.15,"fs-049"
2,"b00002","jk","BUR",NA,0.08,"fs-048"
3,"b00003","jk","FIG",NA,0.08,"fs-049"
6,"b00006","jk","FIG",NA,0.1,"fs-049"
9,"b00009","GHKLRRS","BUR",7.1,0.3,"fs-024"
13,"b00013","dg","EIT",NA,0.41,"fs-032"
14,"b00014","dg","BUR",NA,0.59,"fs-041"
15,"b00015","BHW","BUR",19,0.21,"fs-048"
21,"b00400","KSW","BUR",18,0.45,"fs-040"
22,"b00401","KSW","BUR",19,0.37,"fs-040"
23,"b00402","KSW","BUR",9,0.16,"fs-040"
24,"b00403","KSW","BUR",22,0.48,"fs-040"
25,"b00404","KSW","BUR",12,0.16,"fs-040"
26,"b00405","KSW","BUR",19,0.37,"fs-040"
27,"b00406","KSW","BUR",24,0.38,"fs-040"
28,"b00407","KSW","BUR",18,0.4,"fs-040"
29,"b00408","KSW","BUR",29,0.73,"fs-041"
30,"b00409","KSW","BUR",25,0.59,"fs-041"
31,"b00410","KSW","BUR",7.9,0.22,"fs-042"
32,"b00411","KSW","LAE",16.5,0.33,"fs-042"
33,"b00412","KSW","BUR",6.5,0.14,"fs-042"
34,"b00413","KSW","BUR",8,0.14,"fs-042"
35,"b00414","KSW","BUR",8,0.13,"fs-042"
36,"b00415","KSW","HBU",8,0.17,"fs-042"
37,"b00416","KSW","LAE",18,0.36,"fs-042"
38,"b00417","KSW","BUR",7,0.14,"fs-042"
39,"b00418","KSW","BUR",9,0.23,"fs-042"
40,"b00419","KSW","LAE",14,0.32,"fs-042"
41,"b00420","BHW","BUR",11,0.1,"fs-047"
42,"b00421","BHW","BUR",10,0.08,"fs-047"
43,"b00422","BHW","BUR",12,0.12,"fs-047"
44,"b00423","BHW","BUR",13,0.15,"fs-047"
45,"b00424","BHW","BUR",13,0.12,"fs-047"
46,"b00425","BHW","BUR",11,0.08,"fs-047"
47,"b00426","BHW","BUR",12,0.11,"fs-047"
48,"b00427","BHW","BUR",11,0.08,"fs-047"
49,"b00428","BHW","BUR",8,0.07,"fs-047"
50,"b00429","BHW","BUR",13,0.14,"fs-047"
51,"b00430","BHW","BUR",10,0.1,"fs-047"
52,"b00431","BHW","FIG",11,0.11,"fs-047"
53,"b00432","BHW","BUR",16,0.25,"fs-047"
54,"b00433","BHW","BUR",10,0.08,"fs-047"
55,"b00434","BHW","BUR",11,0.09,"fs-047"
56,"b00435","BHW","BUR",11,0.09,"fs-047"
